"interaction","name","selected","shared interaction","shared name"
"interacts with","FBXO2 (interacts with) C1RL","false","interacts with","FBXO2 (interacts with) C1RL"
"interacts with","FBXO2 (interacts with) SELENON","false","interacts with","FBXO2 (interacts with) SELENON"
"interacts with","FBXO2 (interacts with) EMC3","false","interacts with","FBXO2 (interacts with) EMC3"
"interacts with","FBXO2 (interacts with) NTM","false","interacts with","FBXO2 (interacts with) NTM"
"interacts with","FBXO2 (interacts with) OLFML3","false","interacts with","FBXO2 (interacts with) OLFML3"
"interacts with","FBXO2 (interacts with) TENM2","false","interacts with","FBXO2 (interacts with) TENM2"
"interacts with","FBXO2 (interacts with) CELSR3","false","interacts with","FBXO2 (interacts with) CELSR3"
"interacts with","FBXO2 (interacts with) CEMIP2","false","interacts with","FBXO2 (interacts with) CEMIP2"
"interacts with","FBXO2 (interacts with) LNPEP","false","interacts with","FBXO2 (interacts with) LNPEP"
"interacts with","FBXO2 (interacts with) PLXNA1","false","interacts with","FBXO2 (interacts with) PLXNA1"
"interacts with","FBXO2 (interacts with) NAGPA","false","interacts with","FBXO2 (interacts with) NAGPA"
"interacts with","FBXO2 (interacts with) TENM3","false","interacts with","FBXO2 (interacts with) TENM3"
"interacts with","FBXO2 (interacts with) PTGFRN","false","interacts with","FBXO2 (interacts with) PTGFRN"
"interacts with","FBXO2 (interacts with) SUCO","false","interacts with","FBXO2 (interacts with) SUCO"
"interacts with","FBXO2 (interacts with) PCYOX1","false","interacts with","FBXO2 (interacts with) PCYOX1"
"interacts with","FBXO2 (interacts with) HEG1","false","interacts with","FBXO2 (interacts with) HEG1"
"interacts with","FBXO2 (interacts with) HPSE","false","interacts with","FBXO2 (interacts with) HPSE"
"interacts with","FBXO2 (interacts with) MAN2B2","false","interacts with","FBXO2 (interacts with) MAN2B2"
"interacts with","FBXO2 (interacts with) ANGPTL2","false","interacts with","FBXO2 (interacts with) ANGPTL2"
"interacts with","FBXO2 (interacts with) POMT2","false","interacts with","FBXO2 (interacts with) POMT2"
"interacts with","FBXO2 (interacts with) CCPG1","false","interacts with","FBXO2 (interacts with) CCPG1"
"interacts with","FBXO2 (interacts with) ADGRG1","false","interacts with","FBXO2 (interacts with) ADGRG1"
"interacts with","FBXO2 (interacts with) SPCS1","false","interacts with","FBXO2 (interacts with) SPCS1"
"interacts with","FBXO2 (interacts with) TLL2","false","interacts with","FBXO2 (interacts with) TLL2"
"interacts with","FBXO2 (interacts with) ENPP4","false","interacts with","FBXO2 (interacts with) ENPP4"
"interacts with","FBXO2 (interacts with) AMOTL2","false","interacts with","FBXO2 (interacts with) AMOTL2"
"interacts with","FBXO2 (interacts with) NAALAD2","false","interacts with","FBXO2 (interacts with) NAALAD2"
"interacts with","FBXO2 (interacts with) LOXL2","false","interacts with","FBXO2 (interacts with) LOXL2"
"interacts with","EMC3 (interacts with) EMC10","false","interacts with","EMC3 (interacts with) EMC10"
