g1,g2,p(Interactor)
88455,50649,0.999571098455965
88455,115106,0.953180540908201
88455,23086,0.99899635350166
88455,54930,0.99987125011816
88455,79441,0.99850364894851
88455,93323,0.997929369247072
88455,9677,0.98917628010239
88455,3115,0.999878931315862
88455,4291,0.999329688225833
88455,55346,0.870972103206798
88455,81572,0.836464337428628
88455,64844,0.989343056554447
88455,4548,0.955706050584095
88455,11075,0.99948366670873
88455,1633,0.790131963532422
88455,79726,0.890530547791722
88455,54801,0.997000460953106
88455,79596,0.999990838885402
286499,23384,0.998814523313919
286499,9209,0.949990350622144
286499,5990,0.999999907656795
286499,5989,0.999999913719185
286499,326625,0.999949895541065
286499,7082,0.830746390264704
286499,7874,0.756252570157728
286499,55364,0.999981121889522
286499,5594,0.991713489070135
286499,5595,0.999046597627395
286499,10059,0.917974356584396
286499,10767,0.999193199121953
286499,5547,0.99419226433735
286499,1629,0.999900669074274
286499,55872,0.797415212684225
286499,7174,0.999959265517096
286499,8310,0.999999824154774
286499,22978,0.999999911068633
286499,7186,0.95040512017791
286499,9722,0.999998535075373
286499,23210,0.969689292285934
286499,1627,0.994455353630036
286499,25831,0.850987831946114
286499,57180,0.909060270987292
286499,1459,0.999887497512738
286499,23070,0.998371606953314
286499,7337,0.96191632870542
286499,5515,0.987106525783963
286499,1457,0.997464657684786
286499,55915,0.978770772895414
286499,1460,0.998636809357373
286499,55660,0.993316008395051
286499,23549,0.999990654044836
286499,84498,0.999929829311238
286499,158,0.83721870728941
286499,83892,0.998985833691609
286499,49856,0.970298190371447
286499,22894,0.964920512490104
286499,85313,0.788784685698684
286499,1725,0.809355909373092
286499,5411,0.936741229970953
286499,54976,0.994600227087808
286499,26060,0.999892895281112
286499,84263,0.755363789808082
286499,5578,0.968229305775404
286499,60560,0.998336935371903
286499,55671,0.79119581527534
286499,8573,0.855621148870566
286499,7157,0.999913694319563
286499,27125,0.843923440355265
286499,2671,0.903145910207265
286499,93974,0.996565988627275
286499,9351,0.750588819817107
286499,54793,0.989544839353795
286499,374659,0.999968261433025
2205,51119,0.845021756677648
2205,6337,0.986128640047212
2205,54863,0.932181787325179
2205,5313,0.956989479540915
2205,100509457,0.999947168046383
2205,493869,0.804913371589507
2205,5645,0.999398534123441
2205,23141,0.983853860563172
2205,79877,0.994310683360202
2205,399909,0.996681654021503
29960,1373,0.822112250772098
29960,4528,0.999934541731082
29960,5095,0.989226013225411
