g1,g2,p(Interactor)
100,728378,0.999882363646109
222389,6137,0.77433552589126
222389,5928,0.99993583309574
222389,25873,0.87181726573587
222389,6124,0.79936208909816
222389,6188,0.99897356885442
222389,708,0.992966076535255
222389,4038,0.999668507415908
222389,3836,0.99997067338891
645121,3312,0.954254552735558
645121,55132,0.963663399803402
645121,1020,0.999956445554138
945,201266,0.940758148905588
945,5824,0.99013564907753
945,808,0.942766366580091
945,23412,0.864324856695064
1819,3312,0.890490851958304
1819,51389,0.999999999977033
1819,5603,0.999976600274077
148109,7444,0.873958886386971
148109,821,0.947075388133389
148109,3309,0.867363140339333
148109,56928,0.873929903696391
148109,293,0.835383662415897
148109,9349,0.97481898798803
148109,7846,0.845306141219765
148109,84790,0.86390041810137
148109,6646,0.978786636129852
148109,158747,0.999859895621051
54363,8514,0.98973511172668
23640,3312,0.98334374906507
23640,728378,0.825112340611164
23640,26098,0.999979503288055
23640,22978,0.999999991460762
23640,1998,0.839479088085094
23313,10971,0.99999990737763
23313,7529,0.99999999448384
23313,2810,0.904039972171397
23313,7532,0.99999999899527
23313,7531,0.973750417118473
23313,7534,0.99999991557147
23313,7533,0.99999997182549
23313,51654,0.99991424093337
23313,55175,0.999975785151963
23313,10533,0.908118374996614
23313,7486,0.934291014744662
23313,22933,0.867844016384699
57805,3312,0.9492283093566
57805,8514,0.99990875484226
57805,54363,0.999999764471436
57805,9859,0.857967448110879
57805,10381,0.95146599533602
57805,347688,0.90227237832337
57805,4163,0.90187776469842
9926,728378,0.999832085926353
9926,345651,0.830607231355067
123355,3329,0.999870485883042
123355,664618,0.989950841429888
123355,3312,0.885314468694645
123355,3305,0.789057428527953
123355,8065,0.99999999524909
123355,10910,0.9992446575725
123355,55626,0.99542338476993
4109,2648,0.999999924262265
4109,8850,0.999999921128591
4109,10499,0.999999999872925
4109,57325,0.933657938367004
4109,55689,0.974346286920288
4109,728269,0.999999633853247
4109,728378,0.999978727710602
4109,60,0.801045575320438
4109,1523,0.945841921590663
4109,84250,0.999857182030799
4109,23133,0.999970261007971
4109,23314,0.988775262583713
4109,8204,0.999966775997794
4109,26009,0.941898659942844
4109,6191,0.787547360963424
4109,79832,0.99999766531712
4109,90459,0.999998707165333
4109,55048,0.909714984105394
4109,55810,0.999999999991107
4109,23481,0.991733542830662
4109,10474,0.988017246229325
4109,29902,0.999999992417785
4109,5585,0.999329103689015
4109,5451,0.999996373771473
4109,29903,0.997227987285283
4109,54535,0.999777610087606
4109,64784,0.999781249835867
4109,6944,0.788078338237836
5603,728378,0.978821871424722
10095,10109,0.998145621415209
10095,81873,0.931806567289034
10095,10092,0.99398575814005
10095,10097,0.989807683904992
10095,10094,0.93407540030411
10095,57180,0.99997323112002
10095,10096,0.99949422864283
10095,10093,0.945766941272323
10095,57645,0.999981647365169
10095,30833,0.99994657561379
5481,7389,0.997697127853362
152926,1629,0.999999952593443
152926,594,0.999978475293635
152926,593,0.999621174897851
23212,6181,0.955546586873843
23212,6176,0.968005289639136
23212,6124,0.99191816057887
